id,name,description,price,stock
100,A Light in the Attic,A Light in the Attic,51.77,1000
101,Tipping the Velvet,Tipping the Velvet,53.74,1000
102,Soumission,Soumission,50.1,1000
103,Sharp Objects,Sharp Objects,47.82,1000
104,Sapiens: A Brief History of Humankind,Sapiens: A Brief History of Humankind,54.23,1000
105,The Requiem Red,The Requiem Red,22.65,1000
106,The Dirty Little Secrets of Getting Your Dream Job,The Dirty Little Secrets of Getting Your Dream Job,33.34,1000
107,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull","The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,1000
108,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,1000
109,The Black Maria,The Black Maria,52.15,1000
110,"Starving Hearts (Triangular Trade Trilogy, #1)","Starving Hearts (Triangular Trade Trilogy, #1)",13.99,1000
111,Shakespeare's Sonnets,Shakespeare's Sonnets,20.66,1000
112,Set Me Free,Set Me Free,17.46,1000
113,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,1000
114,Rip it Up and Start Again,Rip it Up and Start Again,35.02,1000
115,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991","Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,1000
116,Olio,Olio,23.88,1000
117,Mesaerion: The Best Science Fiction Stories 1800-1849,Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,1000
118,Libertarianism for Beginners,Libertarianism for Beginners,51.33,1000
119,It's Only the Himalayas,It's Only the Himalayas,45.17,1000
